mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.978842926025391,1.37238998857755,3.9166050434112547,1.3031764984562777,balanced,25,sqrt,8,8,221,"{'class_weight': 'balanced', 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 221}",0.8084112149532711,0.817016317016317,0.8261120739456961,0.82063305978898,0.8166373755125952,0.8177620082433718,0.005783160443046781,22,0.8725834797891037,0.870722433460076,0.8716226084416533,0.8701774974328884,0.8705916642378315,0.8711395366723107,0.0008623211526080506
8.615959024429321,0.9709667087915035,1.3744495391845704,0.4486595947266021,balanced,20,,8,5,459,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 459}",0.8046783625730994,0.8244897959183674,0.8257309941520468,0.8189806678383128,0.8213866039952996,0.8190532848954252,0.007566181283187216,20,0.8981577008106116,0.8962569997052756,0.8991745283018868,0.8992156282373834,0.9002932551319648,0.8986196224374243,0.0013608488227586234
4.648973226547241,1.2450307532443008,1.841942834854126,0.803477946982368,balanced_subsample,20,log2,5,3,443,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 443}",0.8163265306122449,0.8264654672083576,0.8301449275362319,0.8233918128654971,0.8282710280373832,0.824919953251943,0.004839437933969774,14,0.8973305954825462,0.8932609014828953,0.8941969519343493,0.8959342433582856,0.895282605520666,0.8952010595557486,0.0014036792339583036
5.359167051315308,0.5357085553745531,1.4341601848602294,0.797904121924362,balanced_subsample,,log2,2,2,413,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 413}",0.8381063705435418,0.8380731282646546,0.85,0.8425980105324752,0.8437682855471036,0.8425091589775551,0.004399293307361435,2,0.9688756515264334,0.9686847599164927,0.9682421350827494,0.9684241882633303,0.969859743360191,0.9688172956298393,0.000564448660734948
3.6223268508911133,0.5368824523355371,0.7142476081848145,0.353271570943566,balanced_subsample,30,sqrt,1,11,287,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 287}",0.8337264150943396,0.838973162193699,0.8371278458844134,0.835203780271707,0.840117994100295,0.8370298395088909,0.0023481870576127707,4,0.9421389260746691,0.9410541945063103,0.9410889616185659,0.9411589453299568,0.9412814033001338,0.9413444861659273,0.0004047472446647235
2.1948866844177246,0.2138588402918169,0.8207271099090576,0.30456754701170363,balanced_subsample,,log2,3,13,154,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 154}",0.815681685196021,0.8327526132404182,0.8337182448036952,0.8300999412110524,0.8321678321678322,0.8288840633238038,0.006706702231716125,8,0.9042709867452136,0.903510060214422,0.9040492957746479,0.9052538370720189,0.9022379269729093,0.9038644213558424,0.000990051089104312
2.1406704902648928,0.28553469568218665,2.4841335296630858,1.2184085375683567,balanced_subsample,10,,5,8,120,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 120}",0.814128546612623,0.8237347294938918,0.8234610917537747,0.8228438228438228,0.8176991150442477,0.820373461149672,0.0038232279345029167,17,0.8994307400379506,0.8979591836734694,0.8962800875273523,0.9010248901903367,0.9006680220737728,0.8990725847005765,0.0017619815375001647
5.010883426666259,0.17264464147842815,1.9218704223632812,0.04901802698320248,balanced,15,sqrt,2,10,445,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 445}",0.8294392523364486,0.8375072801397787,0.836046511627907,0.8348030570252792,0.8419825072886298,0.8359557216836088,0.004062775646102729,5,0.9272165857962065,0.9264922081740664,0.9249706916764361,0.9267285861713106,0.9255131964809384,0.9261842536597916,0.0008221792907352803
7.605003786087036,0.3779722117261811,1.68172607421875,0.5660388049827755,balanced,15,,7,13,363,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 363}",0.8058479532163743,0.8247663551401869,0.8260105448154658,0.8200934579439252,0.8209658421672555,0.8195368306566415,0.007197140748147648,18,0.9082068660674819,0.9055990545132221,0.9065130704474966,0.9076127124907613,0.9095447870778267,0.9074952981193578,0.0013624265913050864
2.7752544403076174,0.20151473455531685,1.8111671924591064,0.2706419664126187,balanced,20,log2,1,5,149,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 149}",0.8445229681978799,0.8392752776154295,0.8491555037856727,0.8461991750147319,0.8482352941176471,0.8454776437462723,0.0034937844362596506,1,0.9815950920245399,0.9824403421882035,0.9811151079136691,0.9808153477218226,0.9824456114028507,0.9816823002502172,0.0006690576362669115
